CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
2401345,23,22,1-23-2024-022-05,5,1,1,2,85.7233957400311,5,9
2400781,23,12,1-23-2024-012-05,5,2,1,2,97.8753376757072,5,9
2404678,62,138,1-62-2024-138-02,2,1,2,4,27.4104501869369,7,9
2404678,62,138,1-62-2024-138-02,2,1,1,4,27.4104501869369,7,9
2404678,62,138,1-62-2024-138-02,2,1,6,2,27.4104501869369,7,9
2404678,62,138,1-62-2024-138-02,2,1,7,2,27.4104501869369,7,9
2404678,62,138,1-62-2024-138-02,2,1,4,9,27.4104501869369,7,9
2404678,62,138,1-62-2024-138-02,2,1,3,8,27.4104501869369,7,9
2403964,12,70,1-12-2024-070-02,2,2,1,2,221.517683883591,9,9
2400106,67,2,1-67-2024-002-06,6,2,1,2,555.780573943308,7,9
2404402,57,123,1-57-2024-123-02,2,1,1,8,9.69650235592079,1,9
2401168,27,36,1-27-2024-036-03,3,1,2,3,32.3914110115022,3,9
2401168,27,36,1-27-2024-036-03,3,1,1,2,32.3914110115022,3,9
2401168,27,36,1-27-2024-036-03,3,1,3,8,32.3914110115022,3,9
2401440,26,37,1-26-2024-037-06,6,1,2,4,468.146518591354,10,9
2401440,26,37,1-26-2024-037-06,6,1,3,4,468.146518591354,10,9
2401440,26,37,1-26-2024-037-06,6,1,4,8,468.146518591354,10,9
2403286,81,74,1-81-2024-074-02,2,1,1,6,19.0849903848337,8,9
2401408,60,15,1-60-2024-015-03,3,1,2,98,394.462238361686,8,9
2403941,77,131,1-77-2024-131-01,1,1,1,8,96.927477716339,9,9
2403941,77,131,1-77-2024-131-01,1,1,3,8,96.927477716339,9,9
2403941,77,131,1-77-2024-131-01,1,1,2,7,96.927477716339,9,9
2404937,69,116,1-69-2024-116-01,1,1,1,4,7.66811372485411,8,9
2404937,69,116,1-69-2024-116-01,1,1,3,8,7.66811372485411,8,9
2404937,69,116,1-69-2024-116-01,1,1,2,4,7.66811372485411,8,9
2400151,81,6,1-81-2024-006-03,3,2,2,2,368.540152823667,8,9
2400151,81,6,1-81-2024-006-03,3,2,3,6,368.540152823667,8,9
2400463,17,13,1-17-2024-013-03,3,1,2,9,60.1064786597745,4,9
2400463,17,13,1-17-2024-013-03,3,1,1,8,60.1064786597745,4,9
2400463,17,13,1-17-2024-013-03,3,1,3,2,60.1064786597745,4,9
2400463,17,13,1-17-2024-013-03,3,1,4,6,60.1064786597745,4,9
2404678,62,138,1-62-2024-138-02,2,1,5,2,27.4104501869369,7,9
2402961,81,63,1-81-2024-063-02,2,3,1,8,19.0849903848337,8,9
2400151,81,6,1-81-2024-006-03,3,2,1,2,368.540152823667,8,9
2405551,33,106,1-33-2024-106-NM1,21,1,1,8,41.0900179301514,12,9
2402282,23,35,1-23-2024-035-01,1,1,2,6,61.5531705798119,5,9
2402282,23,35,1-23-2024-035-01,1,1,1,2,61.5531705798119,5,9
2400679,24,14,1-24-2024-014-07,7,1,1,2,456.632617918593,1,9
2400680,24,15,1-24-2024-015-06,6,2,1,4,119.681847498873,1,9
2403469,24,97,1-24-2024-097-08,8,1,1,2,91.2848095767464,1,9
2405968,29,102,1-29-2024-102-NM1,21,1,1,8,46.066249775962,2,9
2400180,59,8,1-59-2024-008-08,8,1,1,8,157.411754942879,6,9
2405550,33,105,1-33-2024-105-06,6,1,1,8,203.491050135008,12,9
2403469,24,97,1-24-2024-097-08,8,1,2,6,91.2848095767464,1,9
2402084,24,51,1-24-2024-051-09,9,2,1,4,2577.43990619842,1,9
2400655,21,13,1-21-2024-013-03,3,1,1,4,177.853805987358,11,9
2400655,21,13,1-21-2024-013-03,3,1,2,4,177.853805987358,11,9
2400655,21,13,1-21-2024-013-03,3,1,3,8,177.853805987358,11,9
2401271,24,28,1-24-2024-028-01,1,1,1,2,23.1726143074507,1,9
2400494,24,10,1-24-2024-010-03,3,1,1,2,57.0773068448119,1,9
2400494,24,10,1-24-2024-010-03,3,1,2,3,57.0773068448119,1,9
2400494,24,10,1-24-2024-010-03,3,1,3,2,57.0773068448119,1,9
2402151,23,32,1-23-2024-032-05,5,1,1,8,200.159885378424,5,9
2401281,24,30,1-24-2024-030-06,6,1,1,8,260.894836150354,1,9
2403597,24,102,1-24-2024-102-06,6,1,1,8,302.709902153167,1,9
2400304,73,8,1-73-2024-008-07,7,1,1,4,208.599488788625,3,9
2404827,25,127,1-25-2024-127-NM1,21,1,1,6,46.3961698932894,2,9
2400682,59,23,1-59-2024-023-08,8,1,1,8,90.2221060039316,6,9
2400685,59,26,1-59-2024-026-04,4,2,1,8,406.376487914372,6,9
2400092,23,2,1-23-2024-002-10,10,1,1,8,18788.0442802386,5,9
2404045,81,98,1-81-2024-098-NM1,21,1,1,8,74.6147978501919,8,9
2400698,52,10,1-52-2024-010-07,7,1,1,4,33.8657388719454,12,9
2400587,57,13,1-57-2024-013-04,4,2,1,2,652.929188608722,1,9
2403440,57,82,1-57-2024-082-NM1,21,1,1,2,13.7201676622522,1,9
2400955,59,33,1-59-2024-033-06,6,1,1,8,293.492594938454,6,9
2404064,73,113,1-73-2024-113-NM2,22,1,1,8,537.853972469241,3,9
2400308,48,15,1-48-2024-015-07,7,1,1,2,225.436509667209,12,9
2403998,25,103,1-25-2024-103-NM1,21,1,2,6,55.4169403670828,2,9
2403998,25,103,1-25-2024-103-NM1,21,1,1,2,55.4169403670828,2,9
2401790,81,35,1-81-2024-035-NM1,21,1,1,2,46.909790827141,8,9
2401790,81,35,1-81-2024-035-NM1,21,1,2,2,46.909790827141,8,9
2401790,81,35,1-81-2024-035-NM1,21,1,3,6,46.909790827141,8,9
2405732,29,96,1-29-2024-096-NM1,21,1,1,8,151.12126186189,2,9
2402420,48,79,1-48-2024-079-NM1,21,1,1,8,85.8427679861707,12,9
2403440,57,82,1-57-2024-082-NM1,21,1,2,6,13.7201676622522,1,9
2401369,19,23,1-19-2024-023-07,7,1,1,6,441.36432951908,9,9
2400098,19,4,1-19-2024-004-06,6,1,1,4,659.23547178436,9,9
2402431,19,32,1-19-2024-032-02,2,1,1,6,45.0884525586451,9,9
2401111,19,19,1-19-2024-019-01,1,1,1,8,49.8247383260155,9,9
2403347,24,93,1-24-2024-093-05,5,2,1,4,24.2721053029394,1,9
2401246,19,20,1-19-2024-020-06,6,1,1,8,291.019579336203,9,9
2401520,19,26,1-19-2024-026-05,5,1,1,8,49.1552833588875,9,9
2400097,19,3,1-19-2024-003-03,3,1,1,4,130.467157753061,9,9
2400097,19,3,1-19-2024-003-03,3,1,2,8,130.467157753061,9,9
2402687,19,35,1-19-2024-035-05,5,1,1,8,51.8841213437829,9,9
2402687,19,35,1-19-2024-035-05,5,1,2,9,51.8841213437829,9,9
2402687,19,35,1-19-2024-035-05,5,1,3,2,51.8841213437829,9,9
2402687,19,35,1-19-2024-035-05,5,1,4,6,51.8841213437829,9,9
2400638,19,13,1-19-2024-013-07,7,1,1,8,907.714709607439,9,9
2402061,19,30,1-19-2024-030-09,9,1,1,8,6020.15369113235,9,9
2400033,19,2,1-19-2024-002-05,5,1,1,2,49.1552833588875,9,9
2400033,19,2,1-19-2024-002-05,5,1,2,2,49.1552833588875,9,9
2400033,19,2,1-19-2024-002-05,5,1,3,6,49.1552833588875,9,9
2402686,19,34,1-19-2024-034-01,1,1,1,2,55.53584624788,9,9
2401110,19,18,1-19-2024-018-04,4,1,1,2,873.061101190973,9,9
2400998,19,17,1-19-2024-017-04,4,1,1,8,376.7598096276,9,9
2401578,18,59,1-18-2024-059-09,9,1,1,2,363.748138569445,6,9
2401578,18,59,1-18-2024-059-09,9,1,2,6,363.748138569445,6,9
2404034,14,71,1-14-2024-071-01,1,1,1,6,247.606686231623,8,9
2404034,14,71,1-14-2024-071-01,1,1,2,98,247.606686231623,8,9
2405416,19,76,1-19-2024-076-03,3,2,1,2,385.440122379127,9,9
2405820,16,127,1-16-2024-127-02,2,1,1,6,29.5041480295572,5,9
2401898,48,66,1-48-2024-066-01,1,1,2,98,73.4941053746274,12,9
2402356,14,38,1-14-2024-038-02,2,3,1,2,77.0447891691359,8,9
2403320,67,15,1-67-2024-015-07,7,2,1,4,1640.35951000863,7,9
2401348,57,26,1-57-2024-026-03,3,1,1,6,113.193207903283,1,9
2401640,18,61,1-18-2024-061-04,4,1,1,8,64.044330522557,6,9
2401539,69,27,1-69-2024-027-02,2,1,1,2,7.30201599951961,8,9
2401539,69,27,1-69-2024-027-02,2,1,2,6,7.30201599951961,8,9
2401639,18,60,1-18-2024-060-06,6,2,1,4,54.423046779444,6,9
2401639,18,60,1-18-2024-060-06,6,2,2,5,54.423046779444,6,9
2400443,18,14,1-18-2024-014-04,4,1,1,6,151.429476813471,6,9
2401898,48,66,1-48-2024-066-01,1,1,1,8,73.4941053746274,12,9
2401954,14,32,1-14-2024-032-02,2,1,1,2,81.6126543321507,8,9
2401954,14,32,1-14-2024-032-02,2,1,3,2,81.6126543321507,8,9
2401954,14,32,1-14-2024-032-02,2,1,2,3,81.6126543321507,8,9
2400085,18,2,1-18-2024-002-02,2,1,1,2,46.7280335632617,6,9
2400085,18,2,1-18-2024-002-02,2,1,2,6,46.7280335632617,6,9
2405177,19,71,1-19-2024-071-05,5,2,1,8,182.109577992269,9,9
2403480,60,40,1-60-2024-040-03,3,1,2,9,126.258854490513,8,9
2403480,60,40,1-60-2024-040-03,3,1,1,8,126.258854490513,8,9
2403480,60,40,1-60-2024-040-03,3,1,3,2,126.258854490513,8,9
2401273,60,14,1-60-2024-014-03,3,1,1,6,623.203929289304,8,9
2401133,18,43,1-18-2024-043-03,3,1,1,8,34.6070615401308,6,9
2400987,18,37,1-18-2024-037-03,3,1,1,8,34.6070615401308,6,9
2401358,18,52,1-18-2024-052-04,4,1,2,3,70.6522327035531,6,9
2401358,18,52,1-18-2024-052-04,4,1,3,8,70.6522327035531,6,9
2405182,67,45,1-67-2024-045-08,8,1,1,2,85.9268951316915,7,9
2405182,67,45,1-67-2024-045-08,8,1,2,3,85.9268951316915,7,9
2403835,29,43,1-29-2024-043-06,6,1,1,4,280.671944583498,2,9
2403835,29,43,1-29-2024-043-06,6,1,2,4,280.671944583498,2,9
2401092,81,24,1-81-2024-024-10,10,2,1,2,24230.4540548434,8,9
2401092,81,24,1-81-2024-024-10,10,2,2,6,24230.4540548434,8,9
2401092,81,24,1-81-2024-024-10,10,2,3,98,24230.4540548434,8,9
2400299,18,11,1-18-2024-011-04,4,1,1,4,83.4959792301343,6,9
2400299,18,11,1-18-2024-011-04,4,1,2,8,83.4959792301343,6,9
2401358,18,52,1-18-2024-052-04,4,1,1,2,70.6522327035531,6,9
2406247,18,155,1-18-2024-155-08,8,1,1,2,66.5662168606509,6,9
2406247,18,155,1-18-2024-155-08,8,1,3,98,66.5662168606509,6,9
2400763,18,28,1-18-2024-028-03,3,1,1,2,37.4691262436427,6,9
2400763,18,28,1-18-2024-028-03,3,1,2,6,37.4691262436427,6,9
2400763,18,28,1-18-2024-028-03,3,1,3,7,37.4691262436427,6,9
2400763,18,28,1-18-2024-028-03,3,1,4,4,37.4691262436427,6,9
2400442,18,13,1-18-2024-013-04,4,2,1,2,151.429476813471,6,9
2401507,18,55,1-18-2024-055-04,4,1,1,2,244.763672868508,6,9
2401507,18,55,1-18-2024-055-04,4,1,2,6,244.763672868508,6,9
2401908,33,31,1-33-2024-031-01,1,1,1,6,40.9514113335778,12,9
2401908,33,31,1-33-2024-031-01,1,1,2,98,40.9514113335778,12,9
2406247,18,155,1-18-2024-155-08,8,1,2,6,66.5662168606509,6,9
2401240,18,45,1-18-2024-045-05,5,1,1,8,50.9427492020977,6,9
2401240,18,45,1-18-2024-045-05,5,1,2,9,50.9427492020977,6,9
2400240,26,3,1-26-2024-003-06,6,1,3,98,855.626158255573,10,9
2401368,57,28,1-57-2024-028-03,3,1,1,8,113.193207903283,1,9
2401368,57,28,1-57-2024-028-03,3,2,1,8,113.193207903283,1,9
2402075,66,49,1-66-2024-049-01,1,2,1,4,106.258770256521,6,9
2401626,13,44,1-13-2024-044-02,2,1,1,6,16.539360702524,7,9
2400412,30,12,1-30-2024-012-08,8,1,2,2,134.135999343334,10,9
2400412,30,12,1-30-2024-012-08,8,1,3,2,134.135999343334,10,9
2400412,30,12,1-30-2024-012-08,8,1,4,6,134.135999343334,10,9
2401145,69,20,1-69-2024-020-03,3,2,1,2,75.2386140829049,8,9
2400687,57,15,1-57-2024-015-02,2,1,1,2,36.8561902184078,1,9
2401502,48,50,1-48-2024-050-02,2,1,2,2,74.210049573419,12,9
2400271,10,5,1-10-2024-005-01,1,1,2,98,29.6296036839938,4,9
2401067,30,35,1-30-2024-035-05,5,1,2,2,31.0583053089904,10,9
2401067,30,35,1-30-2024-035-05,5,1,3,6,31.0583053089904,10,9
2401067,30,35,1-30-2024-035-05,5,1,4,98,31.0583053089904,10,9
2400168,48,11,1-48-2024-011-06,6,1,1,4,422.474337478436,12,9
2402488,32,87,1-32-2024-087-02,2,1,1,4,6.60426747006496,7,9
2401435,32,53,1-32-2024-053-NM1,21,1,1,8,17.0813061121433,7,9
2400934,32,30,1-32-2024-030-01,1,1,1,2,68.3257663555808,7,9
2400934,32,30,1-32-2024-030-01,1,1,2,6,68.3257663555808,7,9
2402099,32,77,1-32-2024-077-04,4,1,1,8,1089.69850207101,7,9
2402351,32,82,1-32-2024-082-02,2,1,1,98,8.40925917720626,7,9
2401975,32,70,1-32-2024-070-09,9,1,1,6,3147.76349296009,7,9
2400366,32,12,1-32-2024-012-08,8,1,1,6,82.3211387868321,7,9
2400761,32,24,1-32-2024-024-01,1,1,1,8,35.2552566712832,7,9
2401574,32,58,1-32-2024-058-05,5,1,1,6,32.1941835787257,7,9
2400635,32,17,1-32-2024-017-02,2,1,1,8,9.01771538898963,7,9
2401823,32,68,1-32-2024-068-05,5,1,1,2,47.373478183051,7,9
2401823,32,68,1-32-2024-068-05,5,1,2,2,47.373478183051,7,9
2401823,32,68,1-32-2024-068-05,5,1,3,2,47.373478183051,7,9
2400128,32,4,1-32-2024-004-05,5,1,1,2,35.2856461757235,7,9
2401290,32,46,1-32-2024-046-05,5,1,1,2,19.3075499927048,7,9
2401290,32,46,1-32-2024-046-05,5,1,2,2,19.3075499927048,7,9
2401290,32,46,1-32-2024-046-05,5,1,3,6,19.3075499927048,7,9
2400506,32,15,1-32-2024-015-02,2,2,1,2,16.1834771830848,7,9
2402135,30,73,1-30-2024-073-01,1,1,1,8,78.0176264802272,10,9
2401067,30,35,1-30-2024-035-05,5,1,1,2,31.0583053089904,10,9
2400975,30,33,1-30-2024-033-10,10,1,1,8,19366.7239945855,10,9
2400758,30,23,1-30-2024-023-05,5,1,1,2,81.1099107766211,10,9
2400758,30,23,1-30-2024-023-05,5,1,2,3,81.1099107766211,10,9
2402824,30,98,1-30-2024-098-07,7,1,1,8,1830.45824632304,10,9
2401524,30,53,1-30-2024-053-06,6,1,3,9,776.773510770729,10,9
2401524,30,53,1-30-2024-053-06,6,1,4,6,776.773510770729,10,9
2403445,30,124,1-30-2024-124-02,2,1,1,8,16.6145707079083,10,9
2401375,30,49,1-30-2024-049-04,4,1,1,2,1166.54245421628,10,9
2403087,30,109,1-30-2024-109-01,1,1,1,2,31.9306938476085,10,9
2401524,30,53,1-30-2024-053-06,6,1,1,2,776.773510770729,10,9
2401524,30,53,1-30-2024-053-06,6,1,2,6,776.773510770729,10,9
2406361,30,217,1-30-2024-217-03,3,1,1,4,76.3040184677385,10,9
2403742,30,133,1-30-2024-133-01,1,1,1,2,76.3965079085296,10,9
2406258,30,212,1-30-2024-212-04,4,1,1,2,2634.86309057548,10,9
2405900,18,149,1-18-2024-149-03,3,2,1,2,132.618133574143,6,9
2405900,18,149,1-18-2024-149-03,3,2,2,6,132.618133574143,6,9
2405405,18,132,1-18-2024-132-01,1,1,1,2,63.8166126674341,6,9
2403058,18,89,1-18-2024-089-01,1,1,1,6,63.8166126674341,6,9
2401243,18,47,1-18-2024-047-08,8,1,1,8,60.2730059457291,6,9
2401506,18,54,1-18-2024-054-06,6,1,1,8,193.747887224114,6,9
2403057,18,88,1-18-2024-088-03,3,1,1,8,141.937523628979,6,9
2404917,18,125,1-18-2024-125-08,8,1,5,8,93.5595844976773,6,9
2406372,18,157,1-18-2024-157-06,6,1,1,8,92.770740395174,6,9
2402991,32,106,1-32-2024-106-03,3,2,1,2,188.021149251295,7,9
2402571,32,94,1-32-2024-094-NM1,21,1,1,2,27.5926066558606,7,9
2400637,32,19,1-32-2024-019-02,2,1,1,4,9.01771538689787,7,9
2403233,32,114,1-32-2024-114-05,5,1,1,2,54.6650925289724,7,9
2403233,32,114,1-32-2024-114-05,5,1,2,6,54.6650925289724,7,9
2400897,32,25,1-32-2024-025-02,2,1,1,6,6.82324656710563,7,9
2406282,32,162,1-32-2024-162-03,3,1,1,2,389.952264846681,7,9
2403547,62,96,1-62-2024-096-02,2,1,1,6,27.4104501869369,7,9
2405021,62,148,1-62-2024-148-02,2,1,1,2,40.5230025519482,7,9
2405021,62,148,1-62-2024-148-02,2,1,2,6,40.5230025519482,7,9
2403848,62,105,1-62-2024-105-05,5,1,2,8,63.3169379609733,7,9
2403848,62,105,1-62-2024-105-05,5,1,1,4,63.3169379609733,7,9
2400026,62,3,1-62-2024-003-08,8,1,1,4,20.8454543525906,7,9
2403850,62,107,1-62-2024-107-03,3,1,2,4,533.882324250421,7,9
2403850,62,107,1-62-2024-107-03,3,1,1,4,533.882324250421,7,9
2403850,62,107,1-62-2024-107-03,3,1,3,8,533.882324250421,7,9
2405513,62,165,1-62-2024-165-02,2,3,1,8,40.5230025519482,7,9
2400558,62,17,1-62-2024-017-01,1,1,1,6,98.4303935828124,7,9
2405510,62,162,1-62-2024-162-06,6,1,1,8,3382.64944312523,7,9
2400710,62,20,1-62-2024-020-04,4,1,1,4,4409.67367606145,7,9
2400710,62,20,1-62-2024-020-04,4,1,2,4,4409.67367606145,7,9
2400710,62,20,1-62-2024-020-04,4,1,3,5,4409.67367606145,7,9
2400710,62,20,1-62-2024-020-04,4,1,4,5,4409.67367606145,7,9
2400710,62,20,1-62-2024-020-04,4,1,5,2,4409.67367606145,7,9
2400025,62,2,1-62-2024-002-10,10,1,2,6,1646.87203897318,7,9
2401493,62,37,1-62-2024-037-04,4,1,1,2,1683.0237030981,7,9
2401493,62,37,1-62-2024-037-04,4,1,2,6,1683.0237030981,7,9
2400162,62,9,1-62-2024-009-03,3,1,1,6,398.472275456544,7,9
2401872,62,48,1-62-2024-048-02,2,1,1,6,40.5230025519482,7,9
2402925,62,79,1-62-2024-079-02,2,1,1,6,40.5230025519482,7,9
2402295,62,58,1-62-2024-058-03,3,1,1,2,418.15320145516,7,9
2402295,62,58,1-62-2024-058-03,3,1,2,2,418.15320145516,7,9
2402295,62,58,1-62-2024-058-03,3,1,3,6,418.15320145516,7,9
2402172,62,57,1-62-2024-057-03,3,1,1,8,481.728882975185,7,9
2406033,62,180,1-62-2024-180-02,2,2,1,2,40.5230025519482,7,9
2400025,62,2,1-62-2024-002-10,10,1,1,2,1646.87203897318,7,9
2400276,62,12,1-62-2024-012-04,4,1,4,5,1242.8687815942,7,9
2400276,62,12,1-62-2024-012-04,4,1,5,6,1242.8687815942,7,9
2402406,62,63,1-62-2024-063-04,4,1,2,6,2493.02751254833,7,9
2402798,62,74,1-62-2024-074-02,2,1,1,8,61.2648028245878,7,9
2400711,62,21,1-62-2024-021-02,2,1,1,2,61.2648028245878,7,9
2403291,62,89,1-62-2024-089-02,2,1,1,6,27.4104501869369,7,9
2401633,62,41,1-62-2024-041-02,2,1,3,2,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,4,2,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,5,2,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,6,6,40.5230025519482,7,9
2400276,62,12,1-62-2024-012-04,4,1,2,4,1242.8687815942,7,9
2400276,62,12,1-62-2024-012-04,4,1,3,5,1242.8687815942,7,9
2401234,62,33,1-62-2024-033-05,5,1,1,4,151.647430427332,7,9
2402926,62,80,1-62-2024-080-05,5,1,1,2,40.9792470322256,7,9
2402926,62,80,1-62-2024-080-05,5,1,2,6,40.9792470322256,7,9
2405758,62,173,1-62-2024-173-03,3,2,1,4,631.835133100999,7,9
2401633,62,41,1-62-2024-041-02,2,1,1,4,40.5230025519482,7,9
2401633,62,41,1-62-2024-041-02,2,1,2,5,40.5230025519482,7,9
2400026,62,3,1-62-2024-003-08,8,1,2,8,20.8454543525906,7,9
2400559,62,18,1-62-2024-018-03,3,1,1,8,666.028503256452,7,9
2406304,62,185,1-62-2024-185-06,6,1,1,6,2701.18789542651,7,9
2404283,62,125,1-62-2024-125-02,2,1,1,8,28.5234131836987,7,9
2404406,62,129,1-62-2024-129-02,2,1,1,8,41.3368831287418,7,9
2403939,62,110,1-62-2024-110-02,2,1,1,6,27.4104501869369,7,9
2400665,29,11,1-29-2024-011-07,7,1,1,8,7341.26859271286,2,9
2403023,29,26,1-29-2024-026-05,5,1,1,2,77.3736677143429,2,9
2401221,23,19,1-23-2024-019-04,4,1,1,2,730.927295842337,5,9
2401126,73,38,1-73-2024-038-03,3,1,1,6,23.5881329232141,3,9
2402409,23,37,1-23-2024-037-03,3,1,1,8,244.414257425424,5,9
2400795,29,12,1-29-2024-012-09,9,1,1,8,1200.43767350335,2,9
2401222,23,20,1-23-2024-020-02,2,1,1,2,62.9617318466021,5,9
2400664,29,10,1-29-2024-010-03,3,1,1,8,612.448165622638,2,9
2402611,22,75,1-22-2024-075-10,10,1,1,8,185.561788413348,12,9
2401621,23,25,1-23-2024-025-06,6,1,1,6,520.636713394511,5,9
2403928,60,52,1-60-2024-052-07,7,1,2,9,925.177503236955,8,9
2403928,60,52,1-60-2024-052-07,7,1,1,6,925.177503236955,8,9
2403224,76,85,1-76-2024-085-04,4,1,1,4,159.257021770113,3,9
2401312,26,34,1-26-2024-034-05,5,1,1,4,29.4855896961851,10,9
2404471,32,132,1-32-2024-132-02,2,1,3,6,10.0130344037266,7,9
2404471,32,132,1-32-2024-132-02,2,1,2,2,10.0130344037266,7,9
2401002,69,18,1-69-2024-018-02,2,1,1,4,17.6221452308209,8,9
2401002,69,18,1-69-2024-018-02,2,1,2,5,17.6221452308209,8,9
2401002,69,18,1-69-2024-018-02,2,1,3,6,17.6221452308209,8,9
2401586,22,47,1-22-2024-047-10,10,1,2,9,520.337693702736,12,9
2401586,22,47,1-22-2024-047-10,10,1,1,8,520.337693702736,12,9
2404471,32,132,1-32-2024-132-02,2,1,1,2,10.0130344037266,7,9
2401312,26,34,1-26-2024-034-05,5,1,2,8,29.4855896961851,10,9
2403356,60,39,1-60-2024-039-09,9,1,1,2,1137.75214806216,8,9
2404459,76,127,1-76-2024-127-08,8,1,1,2,75.1501837907099,3,9
2402043,23,30,1-23-2024-030-03,3,1,1,2,841.304689706878,5,9
2404597,32,134,1-32-2024-134-07,7,1,2,6,5758.49266438229,7,9
2404597,32,134,1-32-2024-134-07,7,1,1,2,5758.49266438229,7,9
2402348,28,69,1-28-2024-069-04,4,1,1,8,47.851485985308,3,9
2400739,28,19,1-28-2024-019-09,9,1,1,8,34.7771381559099,3,9
2400739,28,19,1-28-2024-019-09,9,1,2,9,34.7771381559099,3,9
2400739,28,19,1-28-2024-019-09,9,1,3,2,34.7771381559099,3,9
2400739,28,19,1-28-2024-019-09,9,1,4,6,34.7771381559099,3,9
2403504,28,106,1-28-2024-106-03,3,1,1,8,28.3089754479373,3,9
2404116,28,128,1-28-2024-128-03,3,1,1,2,41.3435203712902,3,9
2401689,28,44,1-28-2024-044-05,5,1,1,8,41.6717563477699,3,9
2405221,28,162,1-28-2024-162-03,3,1,1,8,39.7186514004042,3,9
2403612,28,110,1-28-2024-110-03,3,1,2,6,28.3089754479373,3,9
2403612,28,110,1-28-2024-110-03,3,1,1,2,28.3089754479373,3,9
2404199,28,132,1-28-2024-132-07,7,1,1,2,77.5080834922841,3,9
2403721,28,113,1-28-2024-113-10,10,1,2,6,187.992842110574,3,9
2403721,28,113,1-28-2024-113-10,10,1,1,2,187.992842110574,3,9
2401815,28,51,1-28-2024-051-09,9,1,1,8,35.1195291082184,3,9
2404717,28,143,1-28-2024-143-09,9,1,1,8,34.7771381559099,3,9
2404116,28,128,1-28-2024-128-03,3,1,2,6,41.3435203712902,3,9
2404013,28,126,1-28-2024-126-09,9,1,2,6,84.0814352883391,3,9
2404013,28,126,1-28-2024-126-09,9,1,1,2,84.0814352883391,3,9
2400524,28,11,1-28-2024-011-10,10,1,1,6,80.5683609045318,3,9
2401729,28,48,1-28-2024-048-06,6,1,1,2,46.0829401699488,3,9
2401729,28,48,1-28-2024-048-06,6,1,2,6,46.0829401699488,3,9
2404199,28,132,1-28-2024-132-07,7,1,2,6,77.5080834922841,3,9
2401039,28,25,1-28-2024-025-04,4,1,2,6,77.9203950892058,3,9
2406274,28,192,1-28-2024-192-06,6,1,1,8,44.5186799027896,3,9
2404468,28,139,1-28-2024-139-10,10,1,1,2,80.5683609045318,3,9
2404468,28,139,1-28-2024-139-10,10,1,2,6,80.5683609045318,3,9
2403827,28,116,1-28-2024-116-03,3,1,2,6,59.3520019457149,3,9
2403827,28,116,1-28-2024-116-03,3,1,1,2,59.3520019457149,3,9
2400251,28,4,1-28-2024-004-06,6,1,1,8,44.5186799027896,3,9
2406076,28,183,1-28-2024-183-09,9,1,1,8,93.0422956401853,3,9
2401164,28,28,1-28-2024-028-06,6,1,1,2,44.5186799027896,3,9
2401164,28,28,1-28-2024-028-06,6,1,2,6,44.5186799027896,3,9
2401591,28,41,1-28-2024-041-08,8,1,1,2,48.0385140677194,3,9
2401039,28,25,1-28-2024-025-04,4,1,1,2,77.9203950892058,3,9
2402123,28,60,1-28-2024-060-06,6,1,1,8,44.5186799027896,3,9
2401041,28,27,1-28-2024-027-01,1,1,1,2,36.6185653494975,3,9
2402627,28,78,1-28-2024-078-10,10,1,2,6,80.5683609045318,3,9
2402627,28,78,1-28-2024-078-10,10,1,1,2,80.5683609045318,3,9
2400612,28,14,1-28-2024-014-09,9,1,2,6,102.35859040919,3,9
2400612,28,14,1-28-2024-014-09,9,1,1,2,102.35859040919,3,9
2400903,28,22,1-28-2024-022-05,5,1,2,6,41.6717563477699,3,9
2405480,28,171,1-28-2024-171-09,9,1,1,2,446.363671492895,3,9
2403503,28,105,1-28-2024-105-09,9,1,1,8,42.1140871339499,3,9
2402484,28,73,1-28-2024-073-08,8,1,1,8,48.0385140677194,3,9
2400371,28,7,1-28-2024-007-03,3,1,1,2,28.3089754479373,3,9
2400371,28,7,1-28-2024-007-03,3,1,2,6,28.3089754479373,3,9
2401166,28,30,1-28-2024-030-10,10,1,1,2,80.5683609045318,3,9
2401948,28,55,1-28-2024-055-04,4,1,1,8,47.851485985308,3,9
2401948,28,55,1-28-2024-055-04,4,1,2,9,47.851485985308,3,9
2401948,28,55,1-28-2024-055-04,4,1,3,2,47.851485985308,3,9
2401948,28,55,1-28-2024-055-04,4,1,4,6,47.851485985308,3,9
2400903,28,22,1-28-2024-022-05,5,1,1,2,41.6717563477699,3,9
2402500,28,77,1-28-2024-077-10,10,1,1,8,107.424481206042,3,9
2406228,81,162,1-81-2024-162-08,8,1,3,8,355.259814660081,8,9
2406228,81,162,1-81-2024-162-08,8,1,4,98,355.259814660081,8,9
2404871,69,114,1-69-2024-114-04,4,1,1,2,162.395769775631,8,9
2400156,77,6,1-77-2024-006-06,6,1,2,3,1192.83431401126,9,9
2400156,77,6,1-77-2024-006-06,6,1,3,8,1192.83431401126,9,9
2404172,10,74,1-10-2024-074-01,1,1,2,9,28.7027141180818,4,9
